PID,Monitored Facility,Contingency Name,lo_facility,lo_outage,Earliest,Latest
54,CATO JCT - CATO 138 kV l/o FRANCISCO - DUFF 345 kV,Francisco CIN - Duff 345 kV,CATO JCT - CATO 138 KV,FRANCISCO - DUFF 345 KV,2026-01-25 21:35:00-05:00,2026-04-26 19:00:00-04:00
1947,Mahomet OCB1303 138kV l/o GooseCreek - Rising 345kV,Goose Creek-Rising 345 kV,MAHOMET OCB1303 138 KV,GOOSECREEK - RISING 345 KV,2025-03-18 22:30:00-04:00,2025-03-20 05:30:00-04:00
2024,Gibson - Francisco 345 kV l/o AB Brown - Gibson 345 kV,Gibson-AB Brown 345 kV,GIBSON - FRANCISCO 345 KV,AB BROWN - GIBSON 345 KV,2024-06-18 14:20:00-04:00,2025-02-24 07:25:00-05:00
2463,Mahomet - OCB 1303 138 kV l/o Leghorn - Goose Creek 345 kV,Leghorn - Goose Creek 345 kV,MAHOMET - OCB 1303 138 KV,LEGHORN - GOOSE CREEK 345 KV,2024-08-15 10:45:00-04:00,2024-09-06 18:05:00-04:00
2631,Newport - Denmark 161 kV l/o Hills - Sub T - Louisa 345 kV,Hills - Sub T - Louisa 345 kV,NEWPORT - DENMARK 161 KV,HILLS - SUB T - LOUISA 345 KV,2024-06-29 17:15:00-04:00,2024-07-04 15:35:00-04:00
3372,LTVSteel - Hennepin 138 kV l/o Powerton - Towerline 138 kV,Powerton - Towerline 1404 Tie Line,LTVSTEEL - HENNEPIN 138 KV,POWERTON - TOWERLINE 138 KV,2023-09-18 21:10:00-04:00,2023-09-19 10:30:00-04:00
3866,Maroa -E GooseCreek 345 kV l/o Wilton Center-Dumont 765 kV,Dumont-Wilton Center 765kV,MAROA -E GOOSECREEK 345 KV,WILTON CENTER-DUMONT 765 KV,2018-01-14 07:00:00-05:00,2023-02-14 05:50:00-05:00
3910,Turkey Hill Mascouta 138 kV l/o Coffeen Roxford 345 kV,Coffen 3-Roxford3 345kV,TURKEY HILL MASCOUTA 138 KV,COFFEEN ROXFORD 345 KV,2023-01-25 05:55:00-05:00,2023-01-25 05:55:00-05:00
3983,Person - Sedge Hill 230 kV l/o Wake - Heritage 500 kV,Heritage-Wake 500 kV,PERSON - SEDGE HILL 230 KV,WAKE - HERITAGE 500 KV,2022-12-20 01:00:00-05:00,2022-12-20 07:20:00-05:00
3994,Maroa-E GooseCreek 345kV l/o Faraday-Arlond 345kV,Faraday-Arlond 345 kV,MAROA-E GOOSECREEK 345 KV,FARADAY-ARLOND 345 KV,2022-12-13 09:25:00-05:00,2022-12-18 02:20:00-05:00
