market_constraint,dayzer_constraint,pano_constraint,market_reportedname,market_contingency,market_constraintid,market_contingencyid,market_tozone,market_kv,dayzer_cid,dayzer_contingency,dayzer_method,dayzer_confidence,pano_pid,pano_contingency_name,pano_earliest,pano_latest,pano_method,pano_confidence,pano_strategy,match_type,match_method,overall_confidence,confidence_tier,flags
PRUNTYTO B122 CB               500 KV,PRUNTYTO B122 CB 500 KV:L500.502JUNCTION-MTSTORM (TRAIL),PRUNTYTO B122 CB               500 KV,PRUNTYTO B122 CB               500 KV,L500.502JUNCTION-MTSTORM (TRAIL),10019169940.0,10016741641.0,,500.0,554540.0,L500.502JUNCTION-MTSTORM (TRAIL),exact_reportedname,1.0,601.0,L500.502Junction-MtStorm (TRAIL),2026-01-24 10:25:00-05:00,2026-02-10 05:00:00-05:00,exact,1.0,B_outside_paren,three_way,exact_reportedname,1.0,high,
AEP-DOM,AEP-DOM contingency Bed-Bla:L500.Bedington-Black Oak,AEP-DOM contingency Bed-Bla,AEP-DOM CONTINGENCY BED-BLA,L500.BEDINGTON-BLACKOAK,10002233505.0,10003917994.0,AEP,,5002749.0,L500.Bedington-Black Oak,fuzzy,0.9419,10525.0,L500.Bedington-Black Oak,2012-10-10 15:00:00-04:00,2016-08-14 22:00:00-04:00,fuzzy,0.9419,,three_way,fuzzy,0.9419,medium_high,voltage_unknown|voltage_unknown
SPORNAEP-KYGERCRE TIE B 345 KV,SPORNAEP_345 KV_SPO-KYG1:ACTUAL,SPORNAEP345 KV    SPO-KYG1,SPORNAEP345 KV  SPO-KYG1,ACTUAL,10002892738.0,10000680485.0,OVEC,345.0,101240.0,ACTUAL,fuzzy,0.9136,13807.0,BASE,2013-04-23 05:00:00-04:00,2014-07-06 05:00:00-04:00,exact,1.0,B_outside_paren,three_way,exact,0.9136,medium_high,
WMOULTON 138 KV WMOULTON-CITYSTMA,WMOULTON_138 KV_WMO-CIT1:ACTUAL,WMOULTON138 KV WMO-CIT1,WMOULTON138 KV  WMO-CIT1,ACTUAL,10000569683.0,10000680485.0,AEP,138.0,512972.0,ACTUAL,fuzzy,0.9136,16792.0,BASE,2012-10-02 01:00:00-04:00,2012-10-25 23:00:00-04:00,exact,1.0,B_outside_paren,three_way,exact,0.9136,medium_high,
MIAMIFOR-08WILEY1 9784 A 138 KV,MIAMIFOR_138 KV_MIA-08W1:L138.Miami Fort-Morgan,MIAMIFOR-08WILEY1 9784      A  138 KV,MIAMIFOR138 KV  MIA-08W1,L138.MIAMI FORT-MORGAN,10002559045.0,10002843039.0,DEOK,138.0,531163.0,L138.Miami Fort-Morgan,fuzzy,0.9136,12496.0,L138.Miami Fort-Morgan,2015-05-05 15:00:00-04:00,2015-05-08 21:00:00-04:00,exact,1.0,full_constraint,three_way,exact,0.9136,medium_high,
LACKAWAN230 KV  LAC-SUM2,LACKAWAN_230 KV_LAC-SUM2:230/69.Lackawanna.T1 (Sctnlz F),LACKAWAN230 KV  LAC-SUM2,LACKAWAN230 KV  LAC-SUM2,230/69.LACKAWANNA.T1 (SCTNLZ F),10016013599.0,10016241625.0,PPL,230.0,550547.0,230/69.Lackawanna.T1 (Sctnlz F),fuzzy,0.9136,4898.0,230/69.Lackawanna.T1 (Sctnlz F),2021-10-07 09:00:00-04:00,2021-10-07 14:00:00-04:00,exact,1.0,B_outside_paren,three_way,exact,0.9136,medium_high,
HOMERCIT 345 KV HOMERCIT N.AUTO-P XFORMER,HOMERCIT_345 KV_N.AUTO-P:L345.ErieWest-Ashtabula-Perry,HOMERCIT345 KV  N.AUTO-P,HOMERCIT345 KV  N.AUTO-P,L345.ERIEWEST-ASHTABULA-PERRY,10000466201.0,10001843747.0,,345.0,551226.0,L345.ErieWest-Ashtabula-Perry,fuzzy,0.9136,4930.0,L345.ErieWest-Ashtabula-Perry,2021-09-23 21:00:00-04:00,2021-09-23 23:00:00-04:00,exact,1.0,B_outside_paren,three_way,exact,0.9136,medium_high,
HOMERCIT 230 KV HOMERCIT S.AUTO-S XFORMER,HOMERCIT_230 KV_S.AUTO-S:ACTUAL,HOMERCIT230 KV  S.AUTO-S,HOMERCIT230 KV  S.AUTO-S,ACTUAL,10000466196.0,10000680485.0,,230.0,101104.0,ACTUAL,fuzzy,0.9136,4988.0,BASE,2013-04-09 08:00:00-04:00,2021-08-31 10:00:00-04:00,exact,1.0,B_outside_paren,three_way,exact,0.9136,medium_high,
HOMERCIT 345 KV HOMERCIT N.AUTO-P XFORMER,HOMERCIT_345 KV_N.AUTO-P:L345.Ashtabula-Perry,HOMERCIT345 KV  N.AUTO-P,HOMERCIT345 KV  N.AUTO-P,L345.ASHTABULA-PERRY,10000466201.0,10016893649.0,,345.0,551502.0,L345.Ashtabula-Perry,fuzzy,0.9136,4777.0,L345.Ashtabula-Perry,2022-01-12 22:00:00-05:00,2022-01-12 22:00:00-05:00,exact,1.0,B_outside_paren,three_way,exact,0.9136,medium_high,
NATRIUM 138 KV NATRIUM-NEWMARTI,NATRIUM2_138 KV_NAT-NEW:ACTUAL,NATRIUM2138 kV  NAT-NEW,NATRIUM2138 KV  NAT-NEW,ACTUAL,10001779501.0,10000680485.0,APS,138.0,512707.0,ACTUAL,fuzzy,0.912,17796.0,BASE,2012-05-08 07:00:00-04:00,2012-06-17 07:00:00-04:00,exact,1.0,B_outside_paren,three_way,exact,0.912,medium_high,
NILESVAL-SABINSVL VM 1053 B 115 KV,NILESVAL_115 KV_NIL-SAB:ACTUAL,NILESVAL-SABINSVL VM 1053   B  115 KV,NILESVAL115 KV  NIL-SAB,ACTUAL,10002872897.0,10000680485.0,PENELEC,115.0,519062.0,ACTUAL,fuzzy,0.912,11729.0,BASE,2015-06-09 09:00:00-04:00,2015-10-16 20:00:00-04:00,exact,1.0,full_constraint,three_way,exact,0.912,medium_high,
