AREA_NAME,modal_pn_zone,modal_concentration,total
ONCOR_ED    ,NCEN,0.5538625088589653,2822
CNP_TSP     ,COAS,0.987192118226601,1015
E_ONCOR_ED  ,NCEN,0.34959349593495936,738
AEP_TCC     ,SOUT,0.8009118541033434,658
AEP_TNC     ,WEST,0.5090016366612111,611
LCRA TSC    ,SCEN,0.7033898305084746,472
BEPC_TSP    ,NCEN,0.7327586206896551,464
E_CNP_TSP   ,COAS,0.980561555075594,463
E_AEP_TCC   ,SOUT,0.7396593673965937,411
E_LCRATSC   ,WEST,0.43670886075949367,316
TNMP_TSP    ,FWES,0.48928571428571427,280
STEC_TSP    ,SOUT,0.5807692307692308,260
E_AEP_TNC   ,NOTH,0.4720812182741117,197
CPS_TSP     ,SCEN,0.9871794871794872,156
AEN_TSP     ,SCEN,1.0,126
RYBRNTSP    ,NCEN,0.5353535353535354,99
E_TNMP_TSP  ,COAS,0.6224489795918368,98
E_BEPC_TSP  ,NCEN,0.603448275862069,58
GRLNDTSP    ,NCEN,0.875,56
E_WETT      ,FWES,0.5849056603773585,53
LPL         ,NOTH,1.0,51
E_STEC_TSP  ,SOUT,0.7142857142857143,49
BRYN_TSP    ,EAST,1.0,45
PEC_TSP     ,SCEN,0.9302325581395349,43
TMPA_TSP    ,NCEN,0.6341463414634146,41
E_LST       ,NCEN,0.7804878048780488,41
E_CPS_TSP   ,SCEN,1.0,37
E_RYBRNTSP  ,EAST,0.41935483870967744,31
E_GRLNDTSP  ,FWES,0.6785714285714286,28
GOLDENSPREAD,WEST,0.5185185185185185,27
DENTNTSP    ,NCEN,1.0,26
E_AEN_TSP   ,SCEN,0.96,25
LST         ,NCEN,0.6956521739130435,23
E_CTT       ,NOTH,1.0,22
BPUB TSP    ,SOUT,1.0,19
TEXLATSP    ,EAST,1.0,19
WETT        ,FWES,0.6428571428571429,14
SHRY_TSP    ,SOUT,0.7692307692307693,13
E_DENTNTSP  ,NCEN,1.0,13
CTT         ,NOTH,0.9,10
LAMAR       ,NOTH,0.7777777777777778,9
GRNVLTSP    ,NCEN,1.0,9
CS_TSP      ,EAST,1.0,8
E_BRYN_TSP  ,EAST,1.0,6
NORTH_DC    ,NOTH,1.0,6
TEMPORARY   ,NCEN,0.4,5
E_GRNVLTSP  ,NCEN,1.0,4
DC_EAST     ,EAST,1.0,3
E_GOLDENSPRE,WEST,0.6666666666666666,3
E_SHRY_TSP  ,SOUT,1.0,3
E_BPUBTSP   ,SOUT,1.0,3
E_STP       ,COAS,1.0,2
STP         ,COAS,1.0,1
