dz_name,pn_name,confidence_tier,score,match_method,kv,dz_zone,pn_zone,n_candidates_considered,runner_up_pn_name,runner_up_score,s_name,s_topo,s_sig,s_zone,s_geo,n_fires,margin,frac_x_diff,unmatch_reason
TRUMBULL9,TRU_69KV_1,anchor,1.0,transformer_impedance,69,BEPC_ELLIS ,NCEN,1,,,,,,,,,,3.975194784548418e-05,
TRUMBULL8,TRU_138KV_1,anchor,1.0,transformer_impedance,138,BEPC_ELLIS ,NCEN,1,,,,,,,,,,3.975194784548418e-05,
WHITNEYDM,WND_69KV_1,anchor,1.0,transformer_impedance,69,BEPC       ,NCEN,0,,,,,,,,,,0.0,
BOSQUESW8,BOSQUESW_138KV_2,anchor,1.0,transformer_impedance,138,BEPC_BOSQUE,NCEN,1,,,,,,,,,,0.0,
RWMILLER,MIL_138KV_1,anchor,1.0,transformer_impedance,138,BEPC       ,NCEN,0,,,,,,,,,,0.0,
JNSNCNTY8,TEN_138KV_1,anchor,1.0,transformer_impedance,138,BEPC       ,NCEN,0,,,,,,,,,,0.0,
CONCORD,CRD_345KV_1,anchor,1.0,transformer_impedance,345,BEPC       ,NCEN,0,,,,,,,,,,0.0,
CONCORD8,CRD_138KV_1,anchor,1.0,transformer_impedance,138,BEPC       ,NCEN,0,,,,,,,,,,0.0,
JCKCNTY5,JCKCNTY2_345KV_3,anchor,1.0,transformer_impedance,345,BEPC       ,NCEN,0,,,,,,,,,,7.921837866392923e-05,
JCKCNTY8,JACKCNTY_138KV_1,anchor,1.0,transformer_impedance,138,BEPC       ,NCEN,0,,,,,,,,,,0.0,
BOWIE9,BOW_69KV_1,anchor,1.0,transformer_impedance,69,BEPC_MONTAG,NOTH,1,,,,,,,,,,1.0399334442606074e-05,
BOWIE8,BOW_138KV_1,anchor,1.0,transformer_impedance,138,BEPC_MONTAG,NOTH,1,,,,,,,,,,1.0399334442606074e-05,
OLINGER_9,OLINGR_69KV_2,anchor,1.0,transformer_impedance,69,GARLAND    ,NCEN,0,,,,,,,,,,0.0,
OLINGER,OLINGR_138KV_1,anchor,1.0,transformer_impedance,138,GARLAND    ,NCEN,0,,,,,,,,,,0.0,
MCCREE9,MCCREE_69KV_1,anchor,1.0,transformer_impedance,69,GARLAND    ,NCEN,1,,,,,,,,,,0.0,
MCCREE8,MCCREE_138KV_1,anchor,1.0,transformer_impedance,138,GARLAND    ,NCEN,2,,,,,,,,,,0.0,
STEAM_D,STEAM_69KV_1,anchor,1.0,transformer_impedance,69,GRNVILLE   ,NCEN,2,,,,,,,,,,0.0,
DIESEL_D,DIESEL_69KV_1,anchor,1.0,transformer_impedance,69,GRNVILLE   ,NCEN,1,,,,,,,,,,0.0,
GIBN_CREK_8,GIBCRK_138KV_1,anchor,1.0,transformer_impedance,138,TMPA       ,EAST,1667,,,,,,,,,,0.0,
BENDAVIS_8,BNDVS_138KV_1,anchor,1.0,transformer_impedance,138,TMPA       ,NCEN,1667,,,,,,,,,,0.0,
BENDAVIS_5,BNDVS_345KV_1,anchor,1.0,transformer_impedance,345,TMPA       ,NCEN,250,,,,,,,,,,0.0,
GREENV2_IN_9,GN_S_I_69KV_2,anchor,1.0,transformer_impedance,69,TMPA       ,NCEN,3,,,,,,,,,,0.0,
GREENV_IN_9,GN_S_I_69KV_1,anchor,1.0,transformer_impedance,69,TMPA       ,NCEN,3,,,,,,,,,,0.0,
