ZONE_NAME,modal_pn_zone,modal_concentration,total
E_CNP_PUN  ,COAS,1.0,239
NUECES_COUN,SOUT,1.0,141
HIDALGO_COU,SOUT,1.0,124
E_AEPTCC_PU,COAS,0.9349593495934959,123
O_DALLAS   ,NCEN,0.9917355371900827,121
E_HARRIS   ,COAS,1.0,106
BEPC       ,NCEN,0.941747572815534,103
E_TAYLOR   ,SCEN,0.5,96
ABILENE    ,WEST,0.9888888888888889,90
MCCAMEY    ,FWES,0.8933333333333333,75
SAN_PATRICI,SOUT,1.0,69
CAMERON_COU,SOUT,1.0,66
E_DENTON   ,NCEN,1.0,54
SAN ANG    ,WEST,0.9803921568627451,51
WEBB_COUNTY,SOUT,1.0,49
O_TARRANT  ,NCEN,0.8979591836734694,49
E_BRAZORIA ,COAS,1.0,44
PECOS      ,FWES,1.0,42
GARLAND    ,NCEN,0.9047619047619048,42
E_TNMP_PUN ,COAS,1.0,39
TRAV-AEU   ,SCEN,1.0,39
E_NUECES   ,SOUT,1.0,39
CALHOUN_COU,COAS,1.0,37
BALLINGR   ,WEST,0.8529411764705882,34
ASPR MNT   ,NOTH,0.5454545454545454,33
PUTNAM     ,NCEN,0.9354838709677419,31
VICTORIA_CO,COAS,1.0,30
E MUNDAY   ,NOTH,0.9,30
OKLUNION   ,NOTH,1.0,29
E_HIDALGO  ,SOUT,1.0,28
O_MIDLAND  ,FWES,1.0,27
MASON      ,WEST,1.0,26
MATAGORDA_C,COAS,1.0,26
O_HOWARD   ,FWES,0.96,25
RAYBURN    ,NCEN,0.625,24
SONORA     ,WEST,0.9583333333333334,24
KIMBLE_COUN,WEST,1.0,24
CEDR HIL   ,WEST,1.0,23
E_NOLAN    ,WEST,1.0,23
VAL_VERDE_C,WEST,1.0,23
CNP_COGN   ,COAS,1.0,22
DENTON     ,NCEN,1.0,21
E_CAMERON  ,COAS,0.5,20
BEPC_DENTON,NCEN,0.9,20
STARR_COUNT,SOUT,1.0,19
O_MCLENNAN ,NCEN,1.0,19
E_FORT BEND,COAS,1.0,19
O_COLLIN   ,NCEN,0.8333333333333334,18
BEE_COUNTY ,SOUT,1.0,18
CPS        ,SCEN,0.7647058823529411,17
FISHER_COUN,WEST,1.0,17
HASKELL_COU,NOTH,1.0,16
PRESIDIO   ,FWES,1.0,16
TMPA       ,NCEN,1.0,15
E_COKE     ,WEST,1.0,14
E_SCURRY   ,WEST,1.0,14
BPUB       ,SOUT,0.9285714285714286,14
STEC       ,SOUT,0.6428571428571429,14
O_WILLIAMSO,SCEN,0.9230769230769231,13
REFUGIO_COU,SOUT,1.0,13
E_PECOS    ,FWES,1.0,13
E_VICTORIA ,COAS,1.0,13
O_ELLIS    ,NCEN,0.9166666666666666,12
PADUCAH    ,NOTH,1.0,12
BEPC_ELLIS ,NCEN,1.0,12
MEC        ,SOUT,0.45454545454545453,11
E_WEBB     ,SOUT,1.0,10
E_WINKLER  ,FWES,1.0,10
CNP_DIST   ,WEST,0.4,10
MAVERICK_CO,SOUT,1.0,10
BEPC_MONTAG,NOTH,1.0,10
BEPC_COMANC,NCEN,1.0,9
O_ECTOR    ,FWES,1.0,9
UVALDE_COUN,WEST,1.0,9
E_HOWARD   ,FWES,1.0,9
E_WISE     ,NCEN,1.0,9
BROOKS_COUN,SOUT,1.0,9
TEMPORARY  ,NCEN,0.6666666666666666,9
E_HILL     ,NCEN,1.0,9
E_BORDEN   ,FWES,0.8888888888888888,9
ODESSA     ,NOTH,0.8888888888888888,9
E_LLANO    ,WEST,1.0,9
E_ANDREWS  ,FWES,1.0,8
E_CROCKETT ,FWES,1.0,8
ARANSAS_COU,SOUT,1.0,8
E_WHARTON  ,COAS,1.0,8
ATASCOSA_CO,SOUT,1.0,8
DIMMIT_COUN,SOUT,1.0,8
N REGION   ,SCEN,0.75,8
WHARTON_COU,COAS,1.0,8
BEPC_COOKE ,NOTH,0.875,8
EDWARDS_COU,WEST,1.0,7
E_SHACKELFO,NCEN,1.0,7
TUSCOLA    ,WEST,1.0,7
LA_SALLE_CO,SOUT,1.0,7
E_HOOD     ,NCEN,1.0,7
BEPC_BELL  ,NCEN,1.0,7
KENEDY_COUN,SOUT,1.0,7
O_PARKER   ,NCEN,1.0,7
O_SCURRY   ,WEST,0.8571428571428571,7
O_WARD     ,FWES,1.0,7
E_GALVESTON,COAS,1.0,7
O_SMITH    ,EAST,1.0,7
BEPC_BOSQUE,NCEN,1.0,6
GOLIAD_COUN,SOUT,1.0,6
KINNEY_COUN,WEST,1.0,6
FRIO_COUNTY,SOUT,0.6666666666666666,6
TNC_LCRA   ,WEST,1.0,6
TRENT      ,WEST,1.0,6
KLEBERG_COU,SOUT,1.0,6
MCCULLOCH  ,WEST,1.0,6
JIM_WELLS_C,SOUT,1.0,6
WILBARGER_C,NOTH,1.0,6
W CHLDRS   ,NOTH,1.0,6
BEPC_ERATH ,NCEN,1.0,6
CHILDRESS_C,NOTH,1.0,6
E_COOKE    ,NOTH,0.5,6
E_UPTON    ,FWES,1.0,6
E_CHAMBERS ,COAS,1.0,6
E_KENEDY   ,SOUT,1.0,6
E_ECTOR    ,FWES,1.0,6
E_DAWSON   ,FWES,1.0,6
E_WILLIAMSO,SCEN,1.0,6
TNP_FS     ,FWES,1.0,5
O_WINKLER  ,FWES,1.0,5
E_HASKELL  ,NOTH,0.8,5
O_ERATH    ,NCEN,1.0,5
FOARD_COUNT,NOTH,1.0,5
TEX-LA     ,EAST,1.0,5
BEPC_CLAY  ,NOTH,1.0,5
O_BROWN    ,NCEN,1.0,5
O_RUSK     ,EAST,1.0,4
O_LEON     ,EAST,1.0,4
BEPC_ROBERT,EAST,0.75,4
BEPC_MILAM ,SCEN,1.0,4
O_BELL     ,NCEN,1.0,4
SU_CAPROCK ,SOUT,0.75,4
GS_TAYLOR  ,WEST,0.5,4
E_UVALDE   ,WEST,1.0,4
COLORADO_CO,SCEN,1.0,4
ZAVALA_COUN,SOUT,1.0,4
DUVAL_COUNT,SOUT,1.0,4
TNP_TC     ,COAS,1.0,4
E_WILLACY  ,SOUT,1.0,4
KARNES_COUN,SCEN,1.0,4
E_ZAPATA   ,SOUT,1.0,4
O_NAVARRO  ,NCEN,1.0,4
E_FLOYD    ,NOTH,1.0,4
O_LIMESTONE,NCEN,1.0,4
CPS_GENS   ,SCEN,1.0,4
C REGION   ,WEST,0.5,4
BEPC_PALOPI,NCEN,1.0,4
CRANE_COUNT,FWES,1.0,4
O_DENTON   ,NCEN,1.0,4
COLEMAN_COU,WEST,1.0,4
PECOS_COUNT,FWES,1.0,4
GRNVILLE   ,NCEN,1.0,4
BEPC_CORYEL,NCEN,1.0,4
BEPC_BAYLOR,NOTH,1.0,4
JACKSON_COU,COAS,1.0,4
SHRY       ,SOUT,1.0,4
O_ANDREWS  ,FWES,1.0,3
O_JACK     ,NCEN,0.6666666666666666,3
O_LAMAR    ,NOTH,1.0,3
O_GRAYSON  ,NOTH,1.0,3
E_GRIMES   ,EAST,1.0,3
E_HOPKINS  ,EAST,1.0,3
E_NAVARRO  ,NCEN,1.0,3
O_FANNIN   ,NOTH,1.0,3
TNP_PMWK   ,FWES,1.0,3
O_VANZANDT ,EAST,1.0,3
E_STARR    ,SOUT,0.6666666666666666,3
E_BEE      ,SOUT,1.0,3
E_CRANE    ,FWES,1.0,3
O_CHEROKEE ,EAST,1.0,3
W REGION   ,SCEN,0.3333333333333333,3
E_MILLS    ,NCEN,1.0,3
KNOX_COUNTY,NOTH,1.0,3
E_FANNIN   ,NOTH,1.0,3
E_SANPATRIC,SOUT,1.0,3
E_LAMAR    ,NOTH,1.0,3
W VALLEY   ,SOUT,1.0,3
ZAPATA_COUN,SOUT,1.0,3
COCS       ,EAST,1.0,3
GRAY       ,NOTH,1.0,2
BEPC_GRIMES,EAST,1.0,2
E_MATAGORDA,COAS,1.0,2
E_KAUFMAN  ,NCEN,1.0,2
O_HOOD     ,FWES,1.0,2
E_VAL VERDE,WEST,1.0,2
E_SCHLEICHE,WEST,1.0,2
E_TRAVIS   ,SCEN,1.0,2
E_BASTROP  ,SCEN,1.0,2
E_GOLIAD   ,SOUT,1.0,2
E_EASTLAND ,NCEN,1.0,2
E_FALLS    ,NCEN,1.0,2
E_ELLIS    ,NCEN,1.0,2
E_ERATH    ,NCEN,1.0,2
E_FREESTONE,EAST,1.0,2
E_KNOX     ,NOTH,1.0,2
E_BRISCOE  ,NOTH,1.0,2
E_BAYLOR   ,NOTH,1.0,2
E_BRISCO   ,NOTH,1.0,2
E_GRAY     ,NOTH,1.0,2
E_OLDHAM   ,NOTH,1.0,2
E_CULBERSON,FWES,1.0,2
E_REEVES   ,FWES,1.0,2
E_GLASSCOCK,FWES,1.0,2
NAVARRO    ,NCEN,1.0,2
GS_LYNTEGAR,FWES,1.0,2
WILL-AEU   ,SCEN,1.0,2
BEPC_JOHNSO,NCEN,1.0,2
E_JACKSON  ,COAS,1.0,2
BEPC_EASTLA,NCEN,1.0,2
BEPC_BROWN ,NCEN,1.0,2
O_HUNT     ,NCEN,1.0,2
GS_COLEMAN ,NCEN,1.0,2
GS_CONCHOVA,WEST,1.0,2
GS_BIGCOUNT,WEST,1.0,2
GS_SWTEXAS ,FWES,1.0,2
O_ARCHER   ,NOTH,1.0,2
O_MILAM    ,SCEN,1.0,2
O_WICHITA  ,NOTH,1.0,2
BEPC_PARKER,NCEN,1.0,2
FAYE-AEU   ,SCEN,1.0,2
MVEC_W     ,SOUT,1.0,2
BEPC_KING  ,NOTH,1.0,2
LIVE_OAK_CO,SOUT,1.0,2
MOTLEY_COUN,NOTH,1.0,2
BEPC_KENT  ,NOTH,1.0,2
ATHENS     ,EAST,1.0,2
O_MITCHELL ,WEST,1.0,2
BEPC_ARCHER,NOTH,1.0,2
BEPC_FREEST,SCEN,0.5,2
SHACKELFORD,NCEN,1.0,2
O_JOHNSON  ,NCEN,1.0,2
TAYLOR_COUN,WEST,1.0,2
BEPC_FALLS ,NCEN,1.0,2
O_HILL     ,NCEN,1.0,2
O_HOPKINS  ,EAST,1.0,2
O_EASTLAND ,NCEN,1.0,2
O_HOUSTON  ,EAST,1.0,2
O_HENDERSON,EAST,1.0,2
O_KAUFMAN  ,NCEN,1.0,2
BEPC_MCLENN,NCEN,1.0,2
O_WISE     ,NCEN,1.0,2
REEVES_COUN,FWES,1.0,2
E_CALLAHAN ,NCEN,1.0,1
CR COGEN   ,SOUT,1.0,1
E_STEPHENS ,NCEN,1.0,1
E_THROCKMOR,NCEN,1.0,1
E_HAMILTON ,NCEN,1.0,1
BEPC_JACK  ,NOTH,1.0,1
E_DELTA    ,NCEN,1.0,1
E_PALO PINT,NCEN,1.0,1
E_BELL     ,NCEN,1.0,1
WSHACK     ,NCEN,1.0,1
BEPC_CHILDR,NOTH,1.0,1
E_JIM HOGG ,SOUT,1.0,1
E_MASON    ,WEST,1.0,1
CONCHO     ,WEST,1.0,1
E_CONCHO   ,WEST,1.0,1
E_McCULLOCH,WEST,1.0,1
E_IRION    ,WEST,1.0,1
BEPC_LEON  ,EAST,1.0,1
